city	location	station	line	opened
Berlin	Berlin, Germany	Nauener Platz	U9	4/30/1976
Berlin	Berlin, Germany	Neu-Westend	U2	5/20/1922
Berlin	Berlin, Germany	Neue Grottkauer Straße	U5	7/1/1989
Berlin	Berlin, Germany	Neukölln	U7	12/21/1930
Berlin	Berlin, Germany	Nollendorfplatz	U2	3/11/1902
Berlin	Berlin, Germany	Olympia-Stadion	U2	6/8/1913
Berlin	Berlin, Germany	Onkel Toms Hütte	U3	12/22/1929
Berlin	Berlin, Germany	Oranienburger Tor	U6	1/30/1923
Berlin	Berlin, Germany	Oskar-Helene-Heim	U3	12/22/1929
Berlin	Berlin, Germany	Osloer Straße	U8	10/5/1977
Berlin	Berlin, Germany	Otisstraße	U6	5/31/1958
Berlin	Berlin, Germany	Pankow	U2	8/16/2000
Berlin	Berlin, Germany	Pankstraße	U8	10/5/1977
Berlin	Berlin, Germany	Paracelsus-Bad	U8	4/30/1987
Berlin	Berlin, Germany	Paradestraße	U6	9/10/1927
Berlin	Berlin, Germany	Parchimer Allee	U7	9/28/1963
Berlin	Berlin, Germany	Paulsternstraße	U7	10/1/1984
Berlin	Berlin, Germany	Platz der Luftbrücke	U6	2/14/1926
Berlin	Berlin, Germany	Podbielskiallee	U3	10/12/1913
Berlin	Berlin, Germany	Potsdamer Platz	U2	2/18/1902
Berlin	Berlin, Germany	Prinzenstraße	U1	8/18/1902
Berlin	Berlin, Germany	Rathaus Neukölln	U7	4/11/1926
Berlin	Berlin, Germany	Rathaus Reinickendorf	U8	9/24/1994
Berlin	Berlin, Germany	Rathaus Schöneberg	U4	12/1/1910
Berlin	Berlin, Germany	Rathaus Spandau	U7	10/1/1984
Berlin	Berlin, Germany	Rathaus Steglitz	U9	9/30/1974
Berlin	Berlin, Germany	Rehberge	U6	5/3/1956
Berlin	Berlin, Germany	Reinickendorfer Straße	U6	3/8/1923
Berlin	Berlin, Germany	Residenzstraße	U8	4/27/1987
Berlin	Berlin, Germany	Richard-Wagner-Platz	U7	5/14/1906
Berlin	Berlin, Germany	Rohrdamm	U7	10/1/1980
Berlin	Berlin, Germany	Rosa-Luxemburg-Platz	U2	7/27/1913
Berlin	Berlin, Germany	Rosenthaler Platz	U8	4/18/1930
Berlin	Berlin, Germany	Rüdesheimer Platz	U3	10/12/1913
Berlin	Berlin, Germany	Rudow	U7	7/1/1972
Berlin	Berlin, Germany	Ruhleben	U2	12/22/1929
Berlin	Berlin, Germany	Samariterstraße	U5	12/21/1930
Berlin	Berlin, Germany	Scharnweberstraße	U6	5/31/1958
Berlin	Berlin, Germany	Schillingstraße	U5	12/21/1930
Berlin	Berlin, Germany	Schlesisches Tor	U1	2/18/1902
Berlin	Berlin, Germany	Schloßstraße	U9	9/30/1974
Berlin	Berlin, Germany	Schönhauser Allee	U2	7/27/1913
Berlin	Berlin, Germany	Schönleinstraße	U8	7/17/1927
Berlin	Berlin, Germany	Schwartzkopffstraße	U6	3/8/1923
Berlin	Berlin, Germany	Seestraße	U6	3/8/1923
Berlin	Berlin, Germany	Senefelderplatz	U2	7/27/1913
Berlin	Berlin, Germany	Siemensdamm	U7	10/1/1980
Berlin	Berlin, Germany	Sophie-Charlotte-Platz	U2	3/29/1908
Berlin	Berlin, Germany	Spichernstraße	U3	6/2/1959
Berlin	Berlin, Germany	Spittelmarkt	U2	10/1/1908
Berlin	Berlin, Germany	Stadtmitte	U2	10/1/1908
Berlin	Berlin, Germany	Strausberger Platz	U5	12/21/1930
Berlin	Berlin, Germany	Südstern	U7	12/14/1924
Berlin	Berlin, Germany	Tempelhof	U6	12/22/1929
Berlin	Berlin, Germany	Theodor-Heuss-Platz	U2	3/29/1908
Berlin	Berlin, Germany	Thielplatz	U3	10/12/1913
Berlin	Friedrichsfelde, Germany	Tierpark	U5	6/25/1973
Berlin	Berlin, Germany	Turmstraße	U9	8/28/1961
Berlin	Berlin, Germany	Uhlandstraße	U1	10/12/1913
Berlin	Berlin, Germany	Ullsteinstraße	U6	2/28/1966
Berlin	Berlin, Germany	Viktoria-Luise-Platz	U4	12/1/1910
Berlin	Berlin, Germany	Vinetastraße	U2	6/29/1930
Berlin	Berlin, Germany	Voltastraße	U8	4/18/1930
Berlin	Berlin, Germany	Walther-Schreiber-Platz	U9	1/29/1971
Berlin	Berlin, Germany	Warschauer Straße	U1	8/17/1902
Berlin	Berlin, Germany	Weberwiese	U5	12/21/1930
Berlin	Berlin, Germany	Wedding	U6	3/8/1923
Berlin	Berlin, Germany	Weinmeisterstraße	U8	4/18/1930
Berlin	An der Putlitz Bridge, Berlin, Germany	Westhafen	U9	8/28/1961
Berlin	Berlin, Germany	Westphalweg	U6	2/28/1966
Berlin	Berlin, Germany	Wilmersdorfer Straße	U7	4/28/1978
Berlin	Berlin, Germany	Wittenau	U8	9/24/1994
Berlin	Berlin, Germany	Wittenbergplatz	U1	3/11/1902
Berlin	Berlin, Germany	Wuhletal	U5	7/1/1989
Berlin	Berlin, Germany	Wutzkyallee	U7	1/2/1970
Berlin	Berlin, Germany	Yorckstraße	U7	1/29/1971
Berlin	Berlin, Germany	Zitadelle	U7	10/1/1984
Berlin	Berlin, Germany	Zoologischer Garten	U2	3/11/1902
Berlin	Berlin, Germany	Zwickauer Damm	U7	1/2/1970
Paris	Paris, France	Abbesses	12	10/31/1912
Paris	Paris, France	Alésia	4	10/30/1909
Paris	Paris, France	Alexandre Dumas	2	1/31/1903
Paris	Paris, France	Alma – Marceau	9	5/27/1923
Paris	Levallois-Perret, France	Anatole France	3	9/24/1937
Paris	Paris, France	Anvers	2	10/7/1902
Paris	Paris, France	Argentine	1	9/1/1900
Paris	Paris, France	Arts et Métiers	3, 11	10/19/1904
Paris	Asnières-sur-Seine, France	Asnières – Gennevilliers – Les Courtilles	13	6/14/2008
Paris	Paris, France	Assemblée Nationale	12	11/5/1910
Paris	Aubervilliers, France	Aubervilliers – Pantin – Quatre Chemins	7	10/4/1979
Paris	Paris, France	Avenue Émile Zola	10	7/13/1913
Paris	Paris, France	Avron	2	4/2/1903
Paris	Paris, France	Balard	8	7/27/1937
Paris	Paris, France	Barbès – Rochechouart	2, 4	3/26/1903
Paris	Saint-Denis, France	Basilique de Saint-Denis	13	6/20/1976
Paris	Paris, France	Bastille	1, 5, 8	7/19/1900
